date,symbol,iv
2024-01-02,AAPL,0.2312
2024-01-03,AAPL,0.2445
2024-01-04,AAPL,0.2389
2024-01-05,AAPL,0.2501
2024-01-08,AAPL,0.2278
2024-01-09,AAPL,0.2190
2024-01-10,AAPL,0.2345
2024-01-11,AAPL,0.2567
2024-01-12,AAPL,0.2623
2024-01-16,AAPL,0.2734
2024-01-17,AAPL,0.2812
2024-01-18,AAPL,0.2698
2024-01-19,AAPL,0.2555
2024-01-22,AAPL,0.2489
2024-01-23,AAPL,0.2601
2024-01-24,AAPL,0.2712
2024-01-25,AAPL,0.2845
2024-01-26,AAPL,0.2934
2024-01-29,AAPL,0.3012
2024-01-30,AAPL,0.3145
2024-01-31,AAPL,0.3267
2024-02-01,AAPL,0.3189
2024-02-02,AAPL,0.3045
2024-02-05,AAPL,0.2923
2024-02-06,AAPL,0.2812
2024-02-07,AAPL,0.2745
2024-02-08,AAPL,0.2634
2024-02-09,AAPL,0.2589
2024-02-12,AAPL,0.2501
2024-02-13,AAPL,0.2478
2024-02-14,AAPL,0.2412
2024-02-15,AAPL,0.2389
2024-02-16,AAPL,0.2345
2024-02-20,AAPL,0.2312
2024-02-21,AAPL,0.2289
2024-02-22,AAPL,0.2356
2024-02-23,AAPL,0.2423
2024-02-26,AAPL,0.2501
2024-02-27,AAPL,0.2578
2024-02-28,AAPL,0.2634
2024-02-29,AAPL,0.2712
2024-01-02,SPY,0.1234
2024-01-03,SPY,0.1312
2024-01-04,SPY,0.1289
2024-01-05,SPY,0.1345
2024-01-08,SPY,0.1278
2024-01-09,SPY,0.1190
2024-01-10,SPY,0.1245
2024-01-11,SPY,0.1367
2024-01-12,SPY,0.1423
2024-01-16,SPY,0.1534
2024-01-17,SPY,0.1612
2024-01-18,SPY,0.1498
2024-01-19,SPY,0.1455
2024-01-22,SPY,0.1389
2024-01-23,SPY,0.1401
2024-01-24,SPY,0.1512
2024-01-25,SPY,0.1645
2024-01-26,SPY,0.1734
2024-01-29,SPY,0.1812
2024-01-30,SPY,0.1945
2024-01-31,SPY,0.2067
2024-02-01,SPY,0.1989
2024-02-02,SPY,0.1845
2024-02-05,SPY,0.1723
2024-02-06,SPY,0.1612
2024-02-07,SPY,0.1545
2024-02-08,SPY,0.1434
2024-02-09,SPY,0.1389
2024-02-12,SPY,0.1301
2024-02-13,SPY,0.1278
2024-02-14,SPY,0.1212
2024-02-15,SPY,0.1189
2024-02-16,SPY,0.1245
2024-02-20,SPY,0.1212
2024-02-21,SPY,0.1189
2024-02-22,SPY,0.1256
2024-02-23,SPY,0.1323
2024-02-26,SPY,0.1401
2024-02-27,SPY,0.1478
2024-02-28,SPY,0.1534
2024-02-29,SPY,0.1612
2024-01-02,NVDA,0.4512
2024-01-03,NVDA,0.4645
2024-01-04,NVDA,0.4789
2024-01-05,NVDA,0.4901
2024-01-08,NVDA,0.4778
2024-01-09,NVDA,0.4590
2024-01-10,NVDA,0.4745
2024-01-11,NVDA,0.4867
2024-01-12,NVDA,0.4923
2024-01-16,NVDA,0.5034
2024-01-17,NVDA,0.5212
2024-01-18,NVDA,0.5098
2024-01-19,NVDA,0.4955
2024-01-22,NVDA,0.4889
2024-01-23,NVDA,0.4801
2024-01-24,NVDA,0.5012
2024-01-25,NVDA,0.5245
2024-01-26,NVDA,0.5434
2024-01-29,NVDA,0.5612
2024-01-30,NVDA,0.5745
2024-01-31,NVDA,0.5867
2024-02-01,NVDA,0.5689
2024-02-02,NVDA,0.5445
2024-02-05,NVDA,0.5223
2024-02-06,NVDA,0.5112
2024-02-07,NVDA,0.4945
2024-02-08,NVDA,0.4834
2024-02-09,NVDA,0.4689
2024-02-12,NVDA,0.4501
2024-02-13,NVDA,0.4478
2024-02-14,NVDA,0.4412
2024-02-15,NVDA,0.4389
2024-02-16,NVDA,0.4345
2024-02-20,NVDA,0.4312
2024-02-21,NVDA,0.4489
2024-02-22,NVDA,0.4656
2024-02-23,NVDA,0.4823
2024-02-26,NVDA,0.5001
2024-02-27,NVDA,0.5178
2024-02-28,NVDA,0.5334
2024-02-29,NVDA,0.5512
2026-06-08,SPY,0.160378
2026-06-08,SPY,0.160378
2026-06-08,SPY,0.173287
2026-06-08,SPY,0.173287
2026-06-09,BND,0.056400
2026-06-09,F,0.118200
2026-06-09,KMI,0.302700
2026-06-09,TLT,0.110600
2026-06-10,AAPL,0.000000
2026-06-10,ABEV,0.000000
2026-06-10,ABNB,0.000000
2026-06-10,ABT,0.000000
2026-06-10,ACN,0.000000
2026-06-10,ADM,0.000000
2026-06-10,AFRM,0.000000
